DATE,STIOLD
1986-01-20,480.18
1986-01-21,484.14
1986-01-22,474.57
1986-01-23,473.85
1986-01-24,483.07
1986-01-27,484.8
1986-01-28,489.81
1986-01-29,484.74
1986-01-30,486.76
1986-01-31,489.15
1986-02-03,496.85
1986-02-04,503.06
1986-02-05,507.11
1986-02-06,500.04
1986-02-07,503.14
1986-02-12,508.51
1986-02-13,510.59
1986-02-14,510.38
1986-02-17,510.55
1986-02-18,513.5
1986-02-19,518.63
1986-02-20,527.89
1986-02-21,530.44
1986-02-24,522.33
1986-02-25,520.67
1986-02-26,519.07
1986-02-27,519.63
1986-02-28,515.95
1986-03-03,515.66
1986-03-04,512.03
1986-03-05,506.93
1986-03-06,502.37
1986-03-07,496.66
1986-03-10,490.49
1986-03-11,490.82
1986-03-12,489.61
1986-03-13,475.64
1986-03-14,468.19
1986-03-17,465.71
1986-03-18,464.06
1986-03-19,463.01
1986-03-20,466.76
1986-03-21,468.88
1986-03-24,472.09
1986-03-25,479.2
1986-03-26,483.25
1986-03-27,477.9
1986-03-31,475.07
1986-04-01,476.8
1986-04-02,479.06
1986-04-03,474.73
1986-04-04,472.83
1986-04-07,469.86
1986-04-08,469.17
1986-04-09,467.65
1986-04-10,465.17
1986-04-11,464.9
1986-04-14,456.44
1986-04-15,456.35
1986-04-16,457.77
1986-04-17,468.7
1986-04-18,477.43
1986-04-21,480.52
1986-04-22,479.91
1986-04-23,472.69
1986-04-24,470.23
1986-04-25,466.38
1986-04-28,462.35
1986-04-29,470.95
1986-04-30,465.15
1986-05-02,468.15
1986-05-05,473.4
1986-05-06,476.77
1986-05-07,481.17
1986-05-08,484.6
1986-05-09,484.26
1986-05-12,488.69
1986-05-13,496.95
1986-05-14,502.06
1986-05-15,503.78
1986-05-16,499.18
1986-05-19,494.96
1986-05-20,490.26
1986-05-21,496.17
1986-05-22,500.52
1986-05-26,512.26
1986-05-27,518.94
1986-05-28,521.37
1986-05-29,525.95
1986-05-30,532.02
1986-06-02,553.96
1986-06-03,567.18
1986-06-04,567.84
1986-06-05,566.17
1986-06-06,573.11
1986-06-10,587.45
1986-06-11,586.59
1986-06-12,582.53
1986-06-13,572.85
1986-06-16,580.4
1986-06-17,594.71
1986-06-18,611.85
1986-06-19,626.27
1986-06-20,633.31
1986-06-23,647.75
1986-06-24,633.46
1986-06-25,633.94
1986-06-26,621.57
1986-06-27,622.51
1986-06-30,613.33
1986-07-01,622.42
1986-07-02,625.99
1986-07-03,620.58
1986-07-04,619.63
1986-07-07,614.92
1986-07-08,619.81
1986-07-09,612.51
1986-07-10,608.21
1986-07-11,616.45
1986-07-14,624.54
1986-07-15,619.61
1986-07-16,621.44
1986-07-17,626.38
1986-07-18,620.95
1986-07-21,615.36
1986-07-22,609.34
1986-07-23,608.57
1986-07-24,604.73
1986-07-25,608.22
1986-07-28,612.44
1986-07-29,621.98
1986-07-30,627.77
1986-07-31,623.94
1986-08-01,622.45
1986-08-04,631.01
1986-08-05,637.12
1986-08-06,637.64
1986-08-07,635.29
1986-08-08,638.49
1986-08-11,646.53
1986-08-12,651.67
1986-08-13,671.89
1986-08-14,682.3
1986-08-15,686.07
1986-08-18,688.97
1986-08-19,685.18
1986-08-20,683.6
1986-08-21,690.07
1986-08-22,689.51
1986-08-25,693.35
1986-08-26,686.49
1986-08-27,696.47
1986-08-28,697.2
1986-08-29,701.75
1986-09-01,712.65
1986-09-02,706.48
1986-09-03,699.55
1986-09-04,695.79
1986-09-05,703.67
1986-09-08,706.44
1986-09-09,706.11
1986-09-10,699.09
1986-09-11,709.74
1986-09-12,704.28
1986-09-15,698.5
1986-09-16,693.98
1986-09-17,689.7
1986-09-18,692.55
1986-09-19,689.05
1986-09-22,683.14
1986-09-23,692.4
1986-09-24,700.57
1986-09-25,696.01
1986-09-26,695.96
1986-09-29,689.56
1986-09-30,680.9
1986-10-01,690.61
1986-10-02,694.06
1986-10-03,700.68
1986-10-06,709.83
1986-10-07,716.01
1986-10-08,739.55
1986-10-09,781.16
1986-10-10,796.29
1986-10-13,801.26
1986-10-14,783.5
1986-10-15,799.64
1986-10-16,813.35
1986-10-17,804.45
1986-10-20,796.78
1986-10-21,786.27
1986-10-22,797.45
1986-10-23,797.07
1986-10-24,803.89
1986-10-27,830.92
1986-10-28,826.33
1986-10-29,827.9
1986-10-30,824.07
1986-10-31,839.69
1986-11-03,845.63
1986-11-04,841.68
1986-11-05,826.26
1986-11-06,814.28
1986-11-07,806.39
1986-11-10,788.08
1986-11-11,790.97
1986-11-12,809.67
1986-11-13,807.33
1986-11-14,802.89
1986-11-17,798.15
1986-11-18,809.11
1986-11-19,804.8
1986-11-20,803.86
1986-11-21,776.32
1986-11-24,773.64
1986-11-25,793.61
1986-11-26,787.54
1986-11-27,782.98
1986-11-28,775.23
1986-12-01,784.34
1986-12-02,796.81
1986-12-03,796.38
1986-12-04,795.36
1986-12-05,802.61
1986-12-08,803.51
1986-12-09,797.65
1986-12-10,797.35
1986-12-11,794.54
1986-12-12,793.87
1986-12-15,788.21
1986-12-16,784.94
1986-12-17,792.75
1986-12-18,801.97
1986-12-19,803.43
1986-12-22,794.76
1986-12-23,793.79
1986-12-24,796.12
1986-12-26,792.86
1986-12-29,788.45
1986-12-30,784.49
1986-12-31,787.6
1987-01-02,785.89
1987-01-05,782.08
1987-01-06,789.17
1987-01-07,792.5
1987-01-08,804.97
1987-01-09,821.42
1987-01-12,847.56
1987-01-13,850.03
1987-01-14,850.14
1987-01-15,844.69
1987-01-16,844.79
1987-01-19,844.47
1987-01-20,834.03
1987-01-21,842.76
1987-01-22,836.67
1987-01-23,829.03
1987-01-26,825.8
1987-01-27,818.16
1987-01-28,832.49
1987-02-02,844.47
1987-02-03,846.98
1987-02-04,845.55
1987-02-05,845.8
1987-02-06,841.3
1987-02-09,843.91
1987-02-10,854.87
1987-02-11,865.12
1987-02-12,878.1
1987-02-13,877.09
1987-02-16,879.06
1987-02-17,876.41
1987-02-18,889.12
1987-02-19,912.03
1987-02-20,930.27
1987-02-23,930.97
1987-02-24,919.37
1987-02-25,920.65
1987-02-26,928.61
1987-02-27,925.73
1987-03-02,921.0
1987-03-03,910.9
1987-03-04,920.47
1987-03-05,926.13
1987-03-06,927.24
1987-03-09,925.35
1987-03-10,927.02
1987-03-11,929.36
1987-03-12,919.6
1987-03-13,902.16
1987-03-16,898.86
1987-03-17,878.62
1987-03-18,893.78
1987-03-19,898.85
1987-03-20,917.8
1987-03-23,927.45
1987-03-24,923.48
1987-03-25,937.09
1987-03-26,941.44
1987-03-27,936.2
1987-03-30,926.2
1987-03-31,912.66
1987-04-01,902.26
1987-04-02,914.55
1987-04-03,925.09
1987-04-06,931.21
1987-04-07,925.06
1987-04-08,929.42
1987-04-09,935.65
1987-04-10,932.43
1987-04-13,935.39
1987-04-14,930.45
1987-04-15,924.97
1987-04-16,928.19
1987-04-20,939.11
1987-04-21,969.09
1987-04-22,972.94
1987-04-23,972.18
1987-04-24,966.4
1987-04-27,967.41
1987-04-28,964.43
1987-04-29,955.69
1987-04-30,956.41
1987-05-04,959.82
1987-05-05,963.46
1987-05-06,967.12
1987-05-07,968.43
1987-05-08,972.24
1987-05-11,989.54
1987-05-13,1012.55
1987-05-14,1032.11
1987-05-15,1034.58
1987-05-18,1032.62
1987-05-19,1038.01
1987-05-20,1039.85
1987-05-21,1043.5
1987-05-22,1033.44
1987-05-25,1033.76
1987-05-26,1041.99
1987-05-27,1048.22
1987-05-28,1058.47
1987-06-01,1081.77
1987-06-02,1080.41
1987-06-03,1080.09
1987-06-04,1079.21
1987-06-05,1077.88
1987-06-08,1080.55
1987-06-09,1061.3
1987-06-10,1061.45
