DATE,LMNUF1M
1960-07-01,0.878238713447597
1960-08-01,0.89327257922064
1960-09-01,0.908933417003729
1960-10-01,0.885453566911318
1960-11-01,0.878115873892359
1960-12-01,0.874642524151019
1961-01-01,0.883960482714622
1961-02-01,0.868348790486739
1961-03-01,0.850916271715741
1961-04-01,0.83258800702868
1961-05-01,0.826080065439088
1961-06-01,0.824839986653595
1961-07-01,0.80737965319794
1961-08-01,0.806698122791867
1961-09-01,0.814192611283525
1961-10-01,0.816135101379158
1961-11-01,0.828395632521098
1961-12-01,0.837430413280786
1962-01-01,0.855851728451167
1962-02-01,0.881008396086019
1962-03-01,0.931467559587284
1962-04-01,1.00402510932383
1962-05-01,1.05870408578068
1962-06-01,1.06007722472167
1962-07-01,1.03091682910113
1962-08-01,1.00682103415206
1962-09-01,1.01098661566028
1962-10-01,0.998329856123767
1962-11-01,1.01151734739754
1962-12-01,0.947126366365161
1963-01-01,0.904386728364825
1963-02-01,0.842690306028246
1963-03-01,0.795320773842531
1963-04-01,0.764531587273726
1963-05-01,0.738366587232164
1963-06-01,0.718314916135039
1963-07-01,0.699816038803118
1963-08-01,0.693422506005832
1963-09-01,0.676213913616921
1963-10-01,0.658118283300737
1963-11-01,0.645158767051951
1963-12-01,0.627685075214461
1964-01-01,0.618170673319795
1964-02-01,0.610472681410609
1964-03-01,0.606802766282363
1964-04-01,0.600827406673914
1964-05-01,0.594033713309866
1964-06-01,0.592730447280302
1964-07-01,0.599015067739846
1964-08-01,0.60637340086065
1964-09-01,0.613407647660426
1964-10-01,0.616805994620248
1964-11-01,0.628056057170979
1964-12-01,0.646663321467204
1965-01-01,0.673317816969136
1965-02-01,0.6763933689398
1965-03-01,0.689036224141016
1965-04-01,0.716383115831458
1965-05-01,0.747517504576197
1965-06-01,0.791966422317609
1965-07-01,0.772967423332873
1965-08-01,0.763480799910209
1965-09-01,0.759890963906544
1965-10-01,0.764696159501026
1965-11-01,0.770674210439177
1965-12-01,0.778376638445146
1966-01-01,0.793995363911036
1966-02-01,0.809865530424676
1966-03-01,0.837436687189817
1966-04-01,0.875191796563002
1966-05-01,0.925734835834604
1966-06-01,0.910932089838253
1966-07-01,0.922722329646194
1966-08-01,0.958313159511159
1966-09-01,0.924959602147901
1966-10-01,0.917850767838778
1966-11-01,0.921808656268147
1966-12-01,0.935572874513705
1967-01-01,0.980240931396622
1967-02-01,0.927825384343311
1967-03-01,0.905285223498802
1967-04-01,0.883946209997621
1967-05-01,0.877320174803112
1967-06-01,0.882939584178577
1967-07-01,0.874724320583265
1967-08-01,0.857102498703479
1967-09-01,0.859717220956914
1967-10-01,0.8648672073741
1967-11-01,0.865601428885876
1967-12-01,0.88414033607766
1968-01-01,0.893384449923975
1968-02-01,0.912594087463203
1968-03-01,0.92497175067561
1968-04-01,0.963952825318293
1968-05-01,0.924560851275006
1968-06-01,0.892493519490239
1968-07-01,0.881367326895749
1968-08-01,0.87410071179206
1968-09-01,0.880724192520498
1968-10-01,0.882070837437059
1968-11-01,0.905052888079633
1968-12-01,0.908168112478939
1969-01-01,0.921912942711875
1969-02-01,0.956706552722907
1969-03-01,0.948196110411684
1969-04-01,0.958515210847504
1969-05-01,0.995842030886655
1969-06-01,1.06210059158543
1969-07-01,1.06493155858869
1969-08-01,1.04993305436928
1969-09-01,1.04813620845232
1969-10-01,1.06618962070469
1969-11-01,1.07827532032344
1969-12-01,1.08642880598885
1970-01-01,1.10870336082986
1970-02-01,1.12486414299148
1970-03-01,1.15634796413499
1970-04-01,1.22670624362178
1970-05-01,1.20088602602178
1970-06-01,1.15854832961893
1970-07-01,1.12103363602596
1970-08-01,1.08531592434774
1970-09-01,1.07447615502625
1970-10-01,1.04931057646883
1970-11-01,1.01955697754184
1970-12-01,1.00894072721086
1971-01-01,0.984494675288063
1971-02-01,0.935307046780751
1971-03-01,0.91444540933881
1971-04-01,0.896895890193561
1971-05-01,0.895346587435837
1971-06-01,0.889063246574717
1971-07-01,0.903405721486919
1971-08-01,0.896708248238804
1971-09-01,0.888772510326491
1971-10-01,0.89959183190505
1971-11-01,0.900325862615041
1971-12-01,0.918715683940768
1972-01-01,0.873134998232066
1972-02-01,0.83143298119897
1972-03-01,0.805716787713926
1972-04-01,0.79305046591333
1972-05-01,0.795227682630461
1972-06-01,0.804393002142657
1972-07-01,0.810516927152624
1972-08-01,0.819786400536811
1972-09-01,0.83265381452404
1972-10-01,0.847695502165102
1972-11-01,0.880790630082668
1972-12-01,0.905256904177198
1973-01-01,0.947117112246631
1973-02-01,0.982737860082343
1973-03-01,0.996553989600821
1973-04-01,1.03849297902538
1973-05-01,1.06361191434293
1973-06-01,1.08086199747879
1973-07-01,1.12507611251681
1973-08-01,1.14847506070857
1973-09-01,1.18848809063638
1973-10-01,1.21375374995021
1973-11-01,1.28077867144878
1973-12-01,1.19748652533065
1974-01-01,1.15195570945059
1974-02-01,1.10728896762589
1974-03-01,1.09584943041467
1974-04-01,1.1126334841761
1974-05-01,1.13381298275451
1974-06-01,1.14662201563634
1974-07-01,1.19056167531929
1974-08-01,1.24702008050747
1974-09-01,1.28449180472253
1974-10-01,1.30952342488734
1974-11-01,1.30013503332404
1974-12-01,1.31360509149067
1975-01-01,1.36265867323109
1975-02-01,1.23874671756454
1975-03-01,1.16139582742998
1975-04-01,1.10144050631331
1975-05-01,1.06845663249017
1975-06-01,1.03625162097642
1975-07-01,1.01354143161181
1975-08-01,0.990875217004804
1975-09-01,0.973192564941101
1975-10-01,0.963635322703296
1975-11-01,0.963579319963018
