DATE,LF99TRUU Index
2005-02-25,48.918343
2005-02-28,50.909824
2005-03-01,51.310753
2005-03-02,51.449074
2005-03-03,51.172878
2005-03-04,50.796368
2005-03-07,50.124378
2005-03-08,49.251751
2005-03-09,49.420776
2005-03-10,48.787205
2005-03-11,48.541283
2005-03-14,49.895206
2005-03-15,54.515434
2005-03-16,55.549366
2005-03-17,55.465988
2005-03-18,57.241734
2005-03-21,59.428467
2005-03-22,61.180908
2005-03-23,60.969128
2005-03-24,60.223083
2005-03-28,60.090862
2005-03-29,58.836884
2005-03-30,59.490681
2005-03-31,63.110962
2005-04-01,63.447716
2005-04-04,63.506855
2005-04-05,63.466881
2005-04-06,63.461525
2005-04-07,62.731815
2005-04-08,64.15451
2005-04-11,65.104225
2005-04-12,64.559723
2005-04-13,66.029877
2005-04-14,65.390266
2005-04-15,77.060249
2005-04-18,76.942398
2005-04-19,76.297539
2005-04-20,72.608597
2005-04-21,71.921684
2005-04-22,69.954094
2005-04-25,69.204979
2005-04-26,68.977036
2005-04-27,68.733154
2005-04-28,67.220078
2005-04-29,70.527214
2005-05-02,73.751564
2005-05-03,74.38295
2005-05-04,73.6017
2005-05-05,59.208466
2005-05-06,58.80003
2005-05-09,58.503765
2005-05-10,57.790749
2005-05-11,56.973633
2005-05-12,56.464119
2005-05-13,62.412319
2005-05-16,62.215717
2005-05-17,62.338203
2005-05-18,61.670757
2005-05-19,60.92252
2005-05-20,60.322773
2005-05-23,59.121723
2005-05-24,58.946278
2005-05-25,58.518925
2005-05-26,56.923637
2005-05-27,57.828022
2005-05-31,57.624817
2005-06-01,62.686447
2005-06-02,61.316879
2005-06-03,59.821346
2005-06-06,59.623035
2005-06-07,58.965702
2005-06-08,58.824463
2005-06-09,58.021332
2005-06-10,57.760258
2005-06-13,57.230568
2005-06-14,57.380707
2005-06-15,61.305183
2005-06-16,62.079582
2005-06-17,61.543854
2005-06-20,61.833038
2005-06-21,61.469933
2005-06-22,61.221672
2005-06-23,60.569172
2005-06-24,60.520859
2005-06-27,60.182156
2005-06-28,59.158672
2005-06-29,59.674973
2005-06-30,60.084671
2005-07-01,58.938995
2005-07-05,59.012131
2005-07-06,58.795277
2005-07-07,58.285305
2005-07-08,58.381687
2005-07-11,57.286541
2005-07-12,56.309586
2005-07-13,55.602497
2005-07-14,55.044247
2005-07-15,57.47641
2005-07-18,57.330196
2005-07-19,56.51442
2005-07-20,56.101673
2005-07-21,55.617794
2005-07-22,54.973667
2005-07-25,54.577572
2005-07-26,54.020817
2005-07-27,53.446102
2005-07-28,53.143002
2005-07-29,54.313816
2005-08-01,54.735065
2005-08-02,55.184719
2005-08-03,55.128559
2005-08-04,55.158401
2005-08-05,55.64336
2005-08-08,55.632557
2005-08-09,55.336006
2005-08-10,55.140419
2005-08-11,53.856445
2005-08-12,54.421497
2005-08-15,56.668926
2005-08-16,56.493156
2005-08-17,56.431484
2005-08-18,55.848522
2005-08-19,55.553337
2005-08-22,55.184963
2005-08-23,54.211075
2005-08-24,53.544796
2005-08-25,53.280441
2005-08-26,53.469643
2005-08-29,55.905212
2005-08-30,55.07925
2005-08-31,55.482063
2005-09-01,55.995731
2005-09-02,56.226345
2005-09-06,55.570206
2005-09-07,55.141029
2005-09-08,54.330936
2005-09-09,53.6996
2005-09-12,52.909698
2005-09-13,52.406738
2005-09-14,52.59655
2005-09-15,56.015617
2005-09-16,56.102398
2005-09-19,56.193928
2005-09-20,55.883984
2005-09-21,55.98135
2005-09-22,55.677402
2005-09-23,55.191273
2005-09-26,55.405964
2005-09-27,54.951595
2005-09-28,54.391693
2005-09-29,55.27404
2005-09-30,57.562912
2005-10-03,59.223305
2005-10-04,58.73592
2005-10-05,58.418159
2005-10-06,58.623222
2005-10-07,56.654316
2005-10-11,58.669064
2005-10-12,58.816349
2005-10-13,61.792278
2005-10-14,64.37719
2005-10-17,63.359722
2005-10-18,62.775928
2005-10-19,62.845253
2005-10-20,62.349224
2005-10-21,62.231865
2005-10-24,61.590023
2005-10-25,61.626011
2005-10-26,62.07399
2005-10-27,62.517673
2005-10-28,79.198296
2005-10-31,62.959896
2005-11-01,63.777687
2005-11-02,64.369743
2005-11-03,64.240417
2005-11-04,65.09304
2005-11-07,64.93911
2005-11-08,64.831841
2005-11-09,64.449806
2005-11-10,64.327133
2005-11-14,64.570335
2005-11-15,67.173462
2005-11-16,67.325134
2005-11-17,66.890388
2005-11-18,67.757339
2005-11-21,68.062431
2005-11-22,67.69828
2005-11-23,69.027863
2005-11-25,69.035927
2005-11-28,68.095642
2005-11-29,66.675217
2005-11-30,66.88015
2005-12-01,68.384033
2005-12-02,70.004684
2005-12-05,70.781502
2005-12-06,71.51387
2005-12-07,72.026474
2005-12-08,71.021324
2005-12-09,71.023041
2005-12-12,71.023788
2005-12-13,70.884552
2005-12-14,70.554695
2005-12-15,70.691399
2005-12-16,70.74826
2005-12-19,70.657974
2005-12-20,54.798664
2005-12-21,54.79673
