DATE,I13283US Index
1999-01-29,137.479843
1999-02-26,128.664383
1999-03-31,128.086182
1999-04-30,127.498596
1999-05-28,135.036392
1999-06-30,139.217255
1999-07-30,146.509628
1999-08-31,153.488663
1999-09-30,152.941574
1999-10-29,143.193298
1999-11-30,135.82782
1999-12-31,132.643707
2000-01-31,129.674026
2000-02-29,148.378876
2000-03-31,178.571365
2000-04-28,184.309814
2000-05-31,199.81102
2000-06-30,196.415207
2000-07-31,190.227539
2000-08-31,202.017319
2000-09-29,193.57196
2000-10-31,206.399963
2000-11-30,223.068787
2000-12-29,225.294388
2001-01-31,187.941025
2001-02-28,203.041443
2001-03-30,201.148376
2001-04-30,183.999496
2001-05-31,179.103592
2001-06-29,182.816635
2001-07-31,178.948151
2001-08-31,185.64328
2001-09-28,226.505249
2001-10-31,228.375244
2001-11-30,203.520126
2001-12-31,199.070831
2002-01-31,189.927567
2002-02-28,197.248749
2002-03-29,192.69603
2002-04-30,205.218277
2002-05-31,176.32547
2002-06-28,201.820541
2002-07-31,240.462082
2002-08-30,233.795135
2002-09-30,254.590363
2002-10-31,249.201218
2002-11-29,199.821228
2002-12-31,194.540924
2003-01-31,181.162674
2003-02-28,176.626419
2003-03-31,169.584091
2003-04-30,141.268066
2003-05-30,139.699127
2003-06-30,126.120743
2003-07-31,128.840424
2003-08-29,125.954407
2003-09-30,124.110382
2003-10-31,114.848396
2003-11-28,110.426147
2003-12-31,108.01918
2004-01-30,102.927452
2004-02-27,102.963539
2004-03-31,103.500999
2004-04-30,101.617729
2004-05-31,112.704712
2004-06-30,110.205429
2004-07-30,106.976425
2004-08-31,105.814301
2004-09-30,100.431129
2004-10-29,96.69442
2004-11-30,87.429779
2004-12-31,85.302147
2005-01-31,82.460831
2005-02-28,76.952667
2005-03-31,92.23156
2005-04-29,101.227745
2005-05-31,92.566391
2005-06-30,95.124962
2005-07-29,87.278564
2005-08-31,93.455788
2005-09-30,95.233833
2005-10-31,100.905037
2005-11-30,104.282967
2005-12-30,101.409348
2006-01-31,100.287086
2006-02-01,99.765877
2006-02-02,99.92527
2006-02-03,100.205185
2006-02-06,99.659966
2006-02-07,100.542664
2006-02-08,100.518112
2006-02-09,103.086487
2006-02-10,102.859985
2006-02-13,102.948387
2006-02-14,102.046722
2006-02-15,100.653236
2006-02-16,100.26754
2006-02-17,99.895164
2006-02-21,99.54496
2006-02-22,98.810745
2006-02-23,98.492081
2006-02-24,98.41243
2006-02-27,97.769554
2006-02-28,97.701042
2006-03-01,98.486191
2006-03-02,98.479446
2006-03-03,98.713921
2006-03-06,98.918152
2006-03-07,99.166138
2006-03-08,99.558548
2006-03-09,99.363884
2006-03-10,99.363503
2006-03-13,99.39328
2006-03-14,99.461952
2006-03-15,99.62912
2006-03-16,99.515671
2006-03-17,99.485344
2006-03-20,98.980087
2006-03-21,98.870361
2006-03-22,98.715828
2006-03-23,98.943916
2006-03-24,99.107933
2006-03-27,99.193817
2006-03-28,99.112907
2006-03-29,99.730354
2006-03-30,100.013275
2006-03-31,99.687683
2006-04-03,99.897835
2006-04-04,99.916374
2006-04-05,99.479729
2006-04-06,99.492393
2006-04-07,99.367065
2006-04-10,99.23864
2006-04-11,99.103462
2006-04-12,99.526146
2006-04-13,100.339058
2006-04-17,99.655518
2006-04-18,99.673248
2006-04-19,99.32608
2006-04-20,98.619705
2006-04-21,98.181267
2006-04-24,97.981369
2006-04-25,97.653145
2006-04-26,97.206444
2006-04-27,97.276993
2006-04-28,97.326485
2006-05-01,96.771881
2006-05-02,96.377609
2006-05-03,96.237366
2006-05-04,95.805183
2006-05-05,96.002647
2006-05-08,95.610626
2006-05-09,95.977737
2006-05-10,95.891068
2006-05-11,95.916412
2006-05-12,98.20211
2006-05-15,98.919075
2006-05-16,99.597687
2006-05-17,100.502663
2006-05-18,101.90258
2006-05-19,101.566505
2006-05-22,102.204971
2006-05-23,102.230309
2006-05-24,103.45295
2006-05-25,103.193329
2006-05-26,102.601845
2006-05-30,103.393326
2006-05-31,103.852715
2006-06-01,104.742958
2006-06-02,104.274345
2006-06-05,104.426682
2006-06-06,105.155647
2006-06-07,105.246948
2006-06-08,105.901878
2006-06-09,105.75264
2006-06-12,105.666229
2006-06-13,106.789726
2006-06-14,107.948723
2006-06-15,109.486336
2006-06-16,109.403107
2006-06-19,109.696922
2006-06-20,110.390289
2006-06-21,111.247108
2006-06-22,111.588211
2006-06-23,111.891228
2006-06-26,112.275078
2006-06-27,112.173119
2006-06-28,111.896927
2006-06-29,111.051727
2006-06-30,109.852646
2006-07-03,109.579742
2006-07-05,109.584961
2006-07-06,109.711678
2006-07-07,109.179893
2006-07-10,109.202095
2006-07-11,109.295319
2006-07-12,109.159645
2006-07-13,109.822372
2006-07-14,111.033966
2006-07-17,111.696236
2006-07-18,111.391899
2006-07-19,110.89579
2006-07-20,110.272766
2006-07-21,110.60144
2006-07-24,110.253456
2006-07-25,110.851105
2006-07-26,110.338585
2006-07-27,109.54351
2006-07-28,109.133385
2006-07-31,109.614906
2006-08-01,109.500938
2006-08-02,109.229095
2006-08-03,109.123718
2006-08-04,109.098602
2006-08-07,109.164864
2006-08-08,109.148239
2006-08-09,109.122719
2006-08-10,109.91555
2006-08-11,110.267143
2006-08-14,109.682663
2006-08-15,109.706299
2006-08-16,109.73082
2006-08-17,109.080902
2006-08-18,108.7239
2006-08-21,108.510246
2006-08-22,108.618835
2006-08-23,108.54837
2006-08-24,108.253784
2006-08-25,108.393837
2006-08-28,108.310982
2006-08-29,108.461777
2006-08-30,108.40136
2006-08-31,108.690186
2006-09-01,109.170509
2006-09-05,109.138695
2006-09-06,109.058372
2006-09-07,109.265533
2006-09-08,109.678223
