DATE,AS30
1981-02-23,656.9
1981-02-24,651.7
1981-02-25,651.0
1981-02-26,652.0
1981-02-27,652.2
1981-03-02,650.1
1981-03-03,642.6
1981-03-04,645.9
1981-03-05,646.2
1981-03-06,647.1
1981-03-09,653.3
1981-03-10,657.2
1981-03-11,667.3
1981-03-12,662.4
1981-03-13,670.7
1981-03-16,682.9
1981-03-17,684.1
1981-03-18,686.9
1981-03-19,694.5
1981-03-20,694.0
1981-03-23,703.5
1981-03-24,701.6
1981-03-25,705.6
1981-03-26,701.6
1981-03-27,707.4
1981-03-30,709.6
1981-03-31,707.9
1981-04-01,707.8
1981-04-02,714.9
1981-04-03,729.1
1981-04-06,737.4
1981-04-07,731.2
1981-04-08,722.3
1981-04-09,727.0
1981-04-10,731.9
1981-04-13,726.2
1981-04-14,718.1
1981-04-15,717.8
1981-04-16,719.6
1981-04-21,726.3
1981-04-22,726.0
1981-04-23,724.0
1981-04-24,720.8
1981-04-27,712.1
1981-04-28,703.5
1981-04-29,707.1
1981-04-30,706.3
1981-05-01,713.2
1981-05-04,711.1
1981-05-05,705.4
1981-05-06,706.8
1981-05-07,702.4
1981-05-08,699.1
1981-05-11,700.8
1981-05-12,700.9
1981-05-13,695.4
1981-05-14,686.7
1981-05-15,687.4
1981-05-18,689.4
1981-05-19,689.8
1981-05-20,692.7
1981-05-21,700.4
1981-05-22,705.8
1981-05-25,710.0
1981-05-26,713.7
1981-05-27,711.2
1981-05-28,711.5
1981-05-29,713.4
1981-06-01,714.7
1981-06-02,715.4
1981-06-03,716.7
1981-06-04,718.1
1981-06-05,715.0
1981-06-09,711.7
1981-06-10,703.1
1981-06-11,705.9
1981-06-12,706.0
1981-06-15,710.6
1981-06-16,712.9
1981-06-17,712.1
1981-06-18,709.6
1981-06-19,708.0
1981-06-22,705.0
1981-06-23,701.3
1981-06-24,706.8
1981-06-25,706.2
1981-06-26,700.0
1981-06-29,698.7
1981-06-30,699.6
1981-07-01,700.1
1981-07-02,701.3
1981-07-03,701.0
1981-07-06,696.2
1981-07-07,681.3
1981-07-08,674.6
1981-07-09,661.9
1981-07-10,663.6
1981-07-13,667.4
1981-07-14,665.7
1981-07-15,663.5
1981-07-16,664.9
1981-07-17,668.3
1981-07-20,666.7
1981-07-21,655.7
1981-07-22,644.7
1981-07-23,642.7
1981-07-24,640.1
1981-07-27,648.4
1981-07-28,647.4
1981-07-29,639.9
1981-07-30,634.2
1981-07-31,633.4
1981-08-03,635.0
1981-08-04,629.8
1981-08-05,625.1
1981-08-06,628.8
1981-08-07,632.7
1981-08-10,635.7
1981-08-11,642.7
1981-08-12,651.2
1981-08-13,655.5
1981-08-14,655.5
1981-08-17,657.3
1981-08-18,656.5
1981-08-19,656.4
1981-08-20,653.6
1981-08-21,645.1
1981-08-24,638.6
1981-08-25,626.5
1981-08-26,624.1
1981-08-27,626.1
1981-08-28,623.5
1981-08-31,629.2
1981-09-01,625.5
1981-09-02,620.7
1981-09-03,615.5
1981-09-04,610.8
1981-09-07,605.9
1981-09-08,612.4
1981-09-09,607.6
1981-09-10,599.5
1981-09-11,603.6
1981-09-14,611.9
1981-09-15,616.1
